MUSTON - achizitie
[CONFIGURARE]
Ta,0.2ms,tact achizitie in pasi de 0.2ms
Tst,10ms,m_sSeparator
Tac,-5ms,start achizitie
Tas,650ms,timp de achizitie
Scara,±8g
[ACHIZII]
T[ms],A0,A1,A2,A3,A4,A5,A6,A7,A8,A9
   0.0, -4096, -3840, -3840, -4352, -4096,     0,     0,     0,     0,  3840
   0.2, -4096, -4096, -3840, -4352, -4096,     0,     0,     0,     0,  4096
   0.4, -4096, -4096, -3840, -4352, -4096,     0,     0,     0,     0,  3840
   0.6, -4096, -4096, -3840, -4352, -4096,     0,     0,     0,     0,  3840
   0.8, -4096, -4096, -3840, -4352, -4096,     0,     0,     0,     0,  3840
   1.0, -4096, -3840, -3840, -4608, -4096,     0,     0,     0,     0,  3584
   1.2, -4096, -4096, -3840, -4352, -4096,     0,     0,     0,     0,  3584
   1.4, -3840, -4096, -3840, -4352, -4096,     0,     0,     0,     0,  3840
   1.6, -4096, -3840, -3840, -4352, -4096,     0,     0,     0,     0,  3840
   1.8, -4096, -3840, -3840, -4352, -4096,     0,     0,     0,     0,  3840
   2.0, -4096, -3840, -4096, -4352, -4096,     0,     0,     0,     0,  3840
   2.2, -4096, -3840, -4096, -4352, -4096,     0,     0,     0,     0,  4096
   2.4, -4096, -3840, -3840, -4352, -4096,     0,     0,     0,     0,  3840
   2.6, -4096, -3840, -3840, -4352, -4096,     0,     0,     0,     0,  3840
   2.8, -4096, -3584, -3840, -4352, -4096,     0,     0,     0,     0,  4096
   3.0, -4096, -3840, -3840, -4352, -4096,     0,     0,     0,     0,  4096
   3.2, -4096, -4096, -3840, -4352, -4096,     0,     0,     0,     0,  4096
   3.4, -4096, -4096, -3840, -4352, -4096,     0,     0,     0,     0,  3840
   3.6, -4096, -4096, -3840, -4352, -4096,     0,     0,     0,     0,  4096
   3.8, -4096, -3840, -3840, -4352, -4096,     0,     0,     0,     0,  3840
   4.0, -4096, -3840, -3584, -4352, -4096,     0,     0,     0,     0,  3840
   4.2, -4096, -3840, -3584, -4608, -4096,     0,     0,     0,     0,  3840
   4.4, -4096, -4096, -3840, -4352, -4096,     0,     0,     0,     0,  3584
   4.6, -4096, -4096, -3840, -4352, -4096,     0,     0,     0,     0,  3840
   4.8, -4096, -3840, -3840, -4352, -4096,     0,     0,     0,     0,  3584
   5.0, -4096, -3840, -3840, -4352, -4096,     0,     0,     0,     0,  3584
   5.2, -4096, -3840, -3840, -4352, -4096,     0,     0,     0,     0,  3584
   5.4, -4096, -3840, -3840, -4352, -4096,     0,     0,     0,     0,  3840
   5.6, -3840, -3840, -3840, -4352, -4096,     0,     0,     0,     0,  3840
   5.8, -3328, -3840, -3840, -4352, -4096,     0,     0,     0,     0,  3840
   6.0, -3072, -3840, -3584, -4352, -4096,     0,     0,     0,     0,  4096
   6.2, -2816, -4096, -3584, -4352, -4096,     0,     0,     0,     0,  4096
   6.4, -2304, -4096, -3584, -4352, -4096,     0,     0,     0,     0,  4352
   6.6, -1280, -3840, -3840, -4352, -4096,     0,     0,     0,     0,  4352
   6.8,  -512, -4096, -3840, -4352, -4096,     0,     0,     0,     0,  4608
   7.0,   512, -4096, -4096, -4352, -4096,     0,     0,     0,     0,  5120
   7.2,  1024, -3840, -3840, -4352, -4096,     0,     0,     0,     0,  4864
   7.4,  1280, -3840, -3840, -4352, -4096,     0,     0,     0,     0,  4864
